GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NumberUtils,org.example,NumberUtils,0,115,0,26,0,22,0,15,0,2
NumberUtils,org.example,LeftPadUtils,0,80,0,16,0,20,0,11,0,3
